,Neighborhood,City,State,latlon,zipcode
222,Saguaro Canyon,Chandler,Arizona,"33.310045, -111.861363",85224.0
223,Garden Lakes,Avondale,Arizona,"33.487106, -112.292579",
224,Coldwater Springs,Avondale,Arizona,"33.444934, -112.31454",
225,Bennett Estates,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
226,Ponderosa Trails,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
227,Camino A Lago,Peoria,Arizona,"33.676548, -112.265817",
228,Galveston,Chandler,Arizona,"33.309284, -111.826719",85225.0
229,Peoria Ave,Glendale,Arizona,"33.540229, -112.185256",
230,Rio Vista,Phoenix,Arizona,"33.889038, -112.185053",
231,Rancho Santa Fe,Avondale,Arizona,"33.301136, -112.331817",
232,Terramar,Peoria,Arizona,"33.71186, -112.2097",
233,Eastside,Tucson,Arizona,"32.210391, -110.792174",85710.0
234,Cooper Commons,Chandler,Arizona,"33.253942, -111.808289",85286.0
235,Elliot Groves At Morrision Ranch,Gilbert,Arizona,,
236,Fletcher Heights,Peoria,Arizona,"33.787936, -112.33035",
237,Chandler Ginning,Gilbert,Arizona,"33.310045, -111.861363",85224.0
238,Desert Ridge,Yuma,Arizona,"32.663062, -114.636244",85365.0
239,Castle View,Yuma,Arizona,"32.553325, -114.510731",
240,Las Brisas,Yuma,Arizona,"32.672307, -114.490767",
241,Pioneer,Glendale,Arizona,"33.540229, -112.185256",
242,Dobson Woods,Mesa,Arizona,"33.367884, -111.885031",85202.0
243,Drexel-Alvernon,Tucson,Arizona,"32.14453, -110.89954",85706.0
244,United Amigos,Mesa,Arizona,,
245,Coronado Ranch,Gilbert,Arizona,"33.270995, -111.713966",
246,Hilcrest Ranch,Glendale,Arizona,"35.190235, -111.707375",86001.0
247,Finley Farms,Gilbert,Arizona,"33.342854, -111.743826",
248,Parkwood Ranch,Mesa,Arizona,"33.400439, -111.607161",85208.0
249,Cooley Station,Gilbert,Arizona,"33.301309, -111.697796",
250,Roundtree Ranch,Peoria,Arizona,"33.568673, -112.232657",
251,Sunrise,Glendale,Arizona,"33.540229, -112.185256",
252,Bridges at Gilbert,Gilbert,Arizona,"33.257194, -111.709152",
253,Rancho Del Ray,Chandler,Arizona,"33.310045, -111.861363",85224.0
254,Cavalier Dale,Glendale,Arizona,"33.540229, -112.185256",
255,Stonefield,Chandler,Arizona,"33.310045, -111.861363",85224.0
256,Community Fiesta,Mesa,Arizona,"33.389896, -111.86039",
257,Dove Valley Ranch,Peoria,Arizona,"33.787936, -112.33035",
258,The Traditions,Chandler,Arizona,"33.309005, -111.810041",85225.0
259,Ocotillo Rose,Glendale,Arizona,"33.529727, -112.189571",85301.0
260,Glenhurst,Avondale,Arizona,"33.439998, -112.31151",
261,Fulton Ranch,Chandler,Arizona,"33.243502, -111.851982",
262,Santa Cruz Southwest,Tucson,Arizona,"32.181917, -111.007334",85713.0
263,Las Brisas Pointe,Glendale,Arizona,"33.63825, -112.216316",
264,Buckhorn,Mesa,Arizona,"33.421155, -111.687224",
265,Houghton,Tucson,Arizona,"32.19709, -110.828987",85710.0
266,Summit,Tucson,Arizona,"32.19709, -110.828987",85710.0
267,Chaparral Estates,Gilbert,Arizona,"33.51235, -111.891022",85250.0
268,Festiva Court,Chandler,Arizona,"33.310045, -111.861363",85224.0
