,Neighborhood,City,State
387,Ellington,Yuma,Arizona
388,Optimist Park SW,Tempe,Arizona
389,San Marcos Country Club,Chandler,Arizona
390,Bell Park,Peoria,Arizona
391,Yuma Heights,Yuma,Arizona
392,Val Vista Place,Gilbert,Arizona
393,Scottsdale Mountain,Scottsdale,Arizona
394,Thunderbird Estates,Chandler,Arizona
395,Parkway Place,Yuma,Arizona
396,Optimist Park NW,Tempe,Arizona
397,Deer Creek,Peoria,Arizona
398,Ridgeview,Mesa,Arizona
399,Carol Rae Ranch,Gilbert,Arizona
400,Naylor,Tucson,Arizona
401,Alta Vista Estates,Peoria,Arizona
402,Neely Commons,Gilbert,Arizona
403,Broadmoor-Broadway,Tucson,Arizona
404,Dave Brown West,Peoria,Arizona
405,Foxfire,Peoria,Arizona
406,Marbella Vineyards,Gilbert,Arizona
407,Higley Park,Gilbert,Arizona
408,Cooley Station North,Gilbert,Arizona
409,Ocotillo Lakes,Chandler,Arizona
410,Rancho del Mar,Mesa,Arizona
411,Pinnacle Peak Heights,Scottsdale,Arizona
412,Broadway-Northeast,Tucson,Arizona
413,Evergreen,Tempe,Arizona
414,Mitman,Tucson,Arizona
415,Springs,Chandler,Arizona
416,Broadmor,Tempe,Arizona
417,Mesquite Ranch,Tucson,Arizona
418,Garden Point,Peoria,Arizona
419,Forest Highlands,Flagstaff,Arizona
420,Warner Ranch,Chandler,Arizona
421,Hollis Park,Tempe,Arizona
422,Yuma Country Club Estates,Yuma,Arizona
423,Sherwood,Mesa,Arizona
424,Independence Heights,Glendale,Arizona
425,Rillito,Tucson,Arizona
426,Flagstaff Ranch,Flagstaff,Arizona
427,Monterey Point,Chandler,Arizona
428,Manistee Ranch,Glendale,Arizona
429,Layton Lakes,Gilbert,Arizona
430,Suncliff,Peoria,Arizona
431,Arrowhead Meadows,Chandler,Arizona
432,Lesueur Estates,Mesa,Arizona
433,Colonia Coronita,Chandler,Arizona
434,Freeman Farms,Gilbert,Arizona
435,Sierra Ranch,Mesa,Arizona
436,Western Hills II,Tucson,Arizona
437,Camelback Park,Glendale,Arizona
438,Marbrisa Ranch,Glendale,Arizona
439,Mitchell Park West,Tempe,Arizona
440,Travata,Peoria,Arizona
441,Brookside Village,Peoria,Arizona
442,Baseline-Hardy,Tempe,Arizona
443,Engler Estates,Yuma,Arizona
444,Scottsdale Highlands,Scottsdale,Arizona
445,Villa Hermosa,Yuma,Arizona
446,El Dorado Lakes,Gilbert,Arizona
447,Ponderosa Valley Estates,Yuma,Arizona
448,Silverton Ranch,Chandler,Arizona
449,Elk Run,Flagstaff,Arizona
450,Neely Farms,Gilbert,Arizona
451,Livingston Ranch,Yuma,Arizona
452,Mesa Vista II,Mesa,Arizona
453,Richland Heights East,Tucson,Arizona
454,Roosevelt Park,Avondale,Arizona
455,Stonebridge Lakes,Gilbert,Arizona
456,Upper Greenlaw Estates,Flagstaff,Arizona
457,Sienna,Chandler,Arizona
458,Stonecreek,Gilbert,Arizona
459,Southern Palms,Tempe,Arizona
460,Lexington Place,Glendale,Arizona
461,Pine Knoll,Flagstaff,Arizona
462,Del Rio Ranch,Avondale,Arizona
463,Hy-View,Scottsdale,Arizona
